"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
2020,4,21161,"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,2,563,29,592,578,
2020,4,21352,"0WQ","Avjet Corporation","0WQ","Avjet Corporation",1,1,160,0,160,160,
2020,4,21492,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,146,0,146,146,
2020,4,21518,"1EQ","KaiserAir, Inc.","1EQ","KaiserAir, Inc.",1,4,39,29,68,54,
2020,4,21577,"1TQ","Rhoades Aviation dba Transair","1TQ","Rhoades Aviation dba Transair",1,1,136,33,169,153,
2020,4,21652,"27Q","Jet Aviation Flight Services, Inc.","27Q","Jet Aviation Flight Services, Inc.",1,1,605,0,605,605,
2020,4,21712,"2HQ","Elite Airways LLC","2HQ","Elite Airways LLC",2,2,55,5,60,58,
2020,4,21754,"2PQ","21 Air LLC","2PQ","21 Air LLC",1,4,68,0,68,68,
2020,4,21854,"34Q","Polaris Aviation Solutions, LLC","34Q","Polaris Aviation Solutions, LLC",1,4,27,15,42,35,
2020,4,21875,"37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC","37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,41,1,42,42,
2020,4,21974,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1,1,72,0,72,72,
2020,4,20401,"3M","Silver Airways","3M","Silver Airways",1,1,790,95,885,838,
2020,4,20408,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",1,1,278,64,342,310,
2020,4,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,6155,124,6279,6217,
2020,4,20007,"5Y","Atlas Air Inc.","5Y","Atlas Air Inc.",3,3,3151,6,3157,3154,
2020,4,19874,"8C","Air Transport International","8C","Air Transport International",2,2,846,0,846,846,
2020,4,20363,"9E","Endeavor Air Inc.","9E","Endeavor Air Inc.",2,2,4439,92,4531,4485,
2020,4,20190,"9S","Southern Air Inc.","9S","Southern Air Inc.",2,2,454,0,454,454,
2020,4,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,97083,11496,108579,102831,
2020,4,20453,"ABX","ABX Air Inc","ABX","ABX Air Inc",2,2,462,2,464,463,
2020,4,20201,"AMQ","Ameristar Air Cargo","AMQ","Ameristar Air Cargo",1,4,24,0,24,24,
2020,4,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,15840,2010,17850,16845,
2020,4,20409,"B6","JetBlue Airways","B6","JetBlue Airways",3,3,16756,4778,21534,19145,
2020,4,21167,"CP","Compass Airlines","CP","Compass Airlines",2,2,917,0,917,917,
2020,4,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.",3,3,57498,4512,62010,59754,
