"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
2019,1,21161,"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,2,481,36,517,499,
2019,1,21352,"0WQ","Avjet Corporation","0WQ","Avjet Corporation",1,1,154,0,154,154,
2019,1,21492,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,174,3,177,176,
2019,1,21518,"1EQ","KaiserAir, Inc.","1EQ","KaiserAir, Inc.",1,4,39,29,68,54,
2019,1,21652,"27Q","Jet Aviation Flight Services, Inc.","27Q","Jet Aviation Flight Services, Inc.",1,1,765,1,766,766,
2019,1,21712,"2HQ","Elite Airways LLC","2HQ","Elite Airways LLC",1,1,154,23,177,166,
2019,1,21754,"2PQ","21 Air LLC","2PQ","21 Air LLC",1,4,54,0,54,54,
2019,1,21854,"34Q","Polaris Aviation Solutions, LLC","34Q","Polaris Aviation Solutions, LLC",1,4,26,15,41,34,
2019,1,21875,"37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC","37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,32,1,33,33,
2019,1,21974,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1,1,70,2,72,71,
2019,1,20408,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",1,1,309,58,367,338,
2019,1,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,5906,144,6050,5978,
2019,1,20007,"5Y","Atlas Air Inc.","5Y","Atlas Air Inc.",3,3,2965,9,2974,2970,
2019,1,19874,"8C","Air Transport International","8C","Air Transport International",2,2,588,0,588,588,
2019,1,20363,"9E","Endeavor Air Inc.","9E","Endeavor Air Inc.",2,2,4459,111,4570,4515,
2019,1,20190,"9S","Southern Air Inc.","9S","Southern Air Inc.",2,2,309,0,309,309,
2019,1,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,94446,12353,106799,100623,
2019,1,20453,"ABX","ABX Air Inc","ABX","ABX Air Inc",2,2,453,2,455,454,
2019,1,20201,"AMQ","Ameristar Air Cargo","AMQ","Ameristar Air Cargo",1,4,50,0,50,50,
2019,1,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,15608,1894,17502,16555,
2019,1,20409,"B6","JetBlue Airways","B6","JetBlue Airways",3,3,15995,5211,21206,18601,
2019,1,21167,"CP","Compass Airlines","CP","Compass Airlines",2,2,1748,0,1748,1748,
2019,1,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.",3,3,78055,10684,88739,83397,
2019,1,20366,"EV","ExpressJet Airlines LLC","EV","ExpressJet Airlines Inc.",2,2,2918,20,2938,2928,
2019,1,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.",3,3,4309,34,4343,4326,
2019,1,20107,"FX","Federal Express Corporation","FX","Federal Express Corporation",3,3,177657,64243,241900,209779,
2019,1,20368,"G4","Allegiant Air","G4","Allegiant Air",3,3,3526,435,3961,3744,
2019,1,20500,"G7","GoJet Airlines LLC d/b/a United Express","G7","GoJet Airlines LLC d/b/a United Express",2,2,1286,0,1286,1286,
2019,1,20166,"GFQ","Gulf And Caribbean Cargo","GFQ","Gulf And Caribbean Cargo",1,1,115,0,115,115,
2019,1,20402,"GL","Miami Air International","GL","Miami Air International",2,2,335,16,351,343,
2019,1,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",3,3,5743,1507,7250,6497,
2019,1,20370,"KAQ","Kalitta Air LLC","KAQ","Kalitta Air LLC",2,2,1797,12,1809,1803,
2019,1,21629,"KD","Western Global","KD","Western Global",2,2,410,4,414,412,
2019,1,21634,"KH","Aloha Air Cargo","KH","Aloha Air Cargo",2,2,372,65,437,405,
2019,1,20372,"KLQ","Kalitta Charters II","KLQ","Kalitta Charters II",1,1,148,0,148,148,
2019,1,20169,"L2","Lynden Air Cargo Airlines","L2","Lynden Air Cargo Airlines",1,1,197,2,199,198,
2019,1,20151,"M6","Amerijet International","M6","Amerijet International",2,2,689,0,689,689,
2019,1,20398,"MQ","Envoy Air","MQ","Envoy Air",3,3,11798,3975,15773,13786,
2019,1,20405,"N8","National Air Cargo Group Inc d/ba National Airlines","N8","National Air Cargo Group Inc d/ba National Airlines",2,2,210,0,210,210,
2019,1,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,403,20,423,413,
2019,1,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",3,3,7406,294,7700,7553,
2019,1,20397,"OH","PSA Airlines Inc.","OH","PSA Airlines Inc.",2,2,4112,9,4121,4117,
2019,1,20304,"OO","SkyWest Airlines Inc.","OO","SkyWest Airlines Inc.",3,3,13069,3791,16860,14965,
2019,1,20177,"PFQ","Asia Pacific","PFQ","Asia Pacific",1,1,56,3,59,58,
2019,1,21402,"PM","Prescott Support Company, Inc.","PM","Prescott Support Company, Inc.",1,4,26,24,50,38,
2019,1,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",3,3,208,0,208,208,
2019,1,19687,"QX","Horizon Air","QX","Horizon Air",2,2,3342,754,4096,3719,
2019,1,19998,"SI","Sierra Pacific Airlines","SI","Sierra Pacific Airlines",1,4,14,22,36,25,
2019,1,20422,"SY","Sun Country Airlines d/b/a MN Airlines","SY","Sun Country Airlines d/b/a MN Airlines",2,2,1649,37,1686,1668,
2019,1,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.",2,2,411,40,451,431,
2019,1,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.",3,3,77674,11152,88826,83250,
2019,1,20195,"WI","Sky Lease Cargo","WI","Sky Lease Cargo",2,2,404,58,462,433,
2019,1,20310,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,1,159,13,172,166,
2019,1,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.",3,3,57902,2361,60263,59083,
2019,1,20377,"X9","Omni Air International LLC","X9","Omni Air International LLC",2,2,960,4,964,962,
2019,1,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.",2,2,3492,11,3503,3498,
2019,1,20452,"YX","Republic Airline","YX","Republic Airline",3,3,5776,295,6071,5924,
2019,1,20046,"ZW","Air Wisconsin Airlines Corp","ZW","Air Wisconsin Airlines Corp",2,2,1412,457,1869,1641,
2019,2,21161,"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,2,498,35,533,516,
2019,2,21352,"0WQ","Avjet Corporation","0WQ","Avjet Corporation",1,1,154,0,154,154,
2019,2,21492,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,164,2,166,165,
2019,2,21518,"1EQ","KaiserAir, Inc.","1EQ","KaiserAir, Inc.",1,4,39,29,68,54,
2019,2,21577,"1TQ","Rhoades Aviation dba Transair","1TQ","Rhoades Aviation dba Transair",1,4,102,45,147,125,
2019,2,21652,"27Q","Jet Aviation Flight Services, Inc.","27Q","Jet Aviation Flight Services, Inc.",1,1,772,1,773,773,
2019,2,21712,"2HQ","Elite Airways LLC","2HQ","Elite Airways LLC",1,1,159,25,184,172,
2019,2,21754,"2PQ","21 Air LLC","2PQ","21 Air LLC",1,4,67,0,67,67,
2019,2,21854,"34Q","Polaris Aviation Solutions, LLC","34Q","Polaris Aviation Solutions, LLC",1,4,26,15,41,34,
2019,2,21875,"37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC","37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,32,1,33,33,
2019,2,21974,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1,1,70,2,72,71,
2019,2,20408,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",1,1,309,58,367,338,
2019,2,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,5917,147,6064,5991,
2019,2,20007,"5Y","Atlas Air Inc.","5Y","Atlas Air Inc.",3,3,3007,9,3016,3012,
2019,2,19874,"8C","Air Transport International","8C","Air Transport International",2,2,581,0,581,581,
2019,2,20363,"9E","Endeavor Air Inc.","9E","Endeavor Air Inc.",2,2,4460,111,4571,4516,
2019,2,20190,"9S","Southern Air Inc.","9S","Southern Air Inc.",2,2,321,0,321,321,
2019,2,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,94466,12235,106701,100584,
2019,2,20453,"ABX","ABX Air Inc","ABX","ABX Air Inc",2,2,443,2,445,444,
2019,2,20201,"AMQ","Ameristar Air Cargo","AMQ","Ameristar Air Cargo",1,4,52,0,52,52,
2019,2,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,15659,1908,17567,16613,
2019,2,20409,"B6","JetBlue Airways","B6","JetBlue Airways",3,3,16079,5254,21333,18706,
2019,2,21167,"CP","Compass Airlines","CP","Compass Airlines",2,2,1731,0,1731,1731,
2019,2,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.",3,3,78645,10846,89491,84068,
2019,2,20366,"EV","ExpressJet Airlines LLC","EV","ExpressJet Airlines Inc.",2,2,2774,2,2776,2775,
2019,2,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.",3,3,4372,40,4412,4392,
2019,2,20107,"FX","Federal Express Corporation","FX","Federal Express Corporation",3,3,176830,64126,240956,208893,
2019,2,20368,"G4","Allegiant Air","G4","Allegiant Air",3,3,3636,430,4066,3851,
2019,2,20500,"G7","GoJet Airlines LLC d/b/a United Express","G7","GoJet Airlines LLC d/b/a United Express",2,2,1268,0,1268,1268,
2019,2,20166,"GFQ","Gulf And Caribbean Cargo","GFQ","Gulf And Caribbean Cargo",1,1,113,0,113,113,
2019,2,20402,"GL","Miami Air International","GL","Miami Air International",2,2,327,15,342,335,
2019,2,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",3,3,5772,1500,7272,6522,
2019,2,20370,"KAQ","Kalitta Air LLC","KAQ","Kalitta Air LLC",2,2,1851,13,1864,1858,
2019,2,21629,"KD","Western Global","KD","Western Global",2,2,437,3,440,439,
2019,2,21634,"KH","Aloha Air Cargo","KH","Aloha Air Cargo",2,2,370,66,436,403,
2019,2,20372,"KLQ","Kalitta Charters II","KLQ","Kalitta Charters II",1,1,151,0,151,151,
2019,2,20169,"L2","Lynden Air Cargo Airlines","L2","Lynden Air Cargo Airlines",1,1,197,2,199,198,
2019,2,20151,"M6","Amerijet International","M6","Amerijet International",2,2,684,0,684,684,
2019,2,20398,"MQ","Envoy Air","MQ","Envoy Air",3,3,11810,4016,15826,13818,
2019,2,20405,"N8","National Air Cargo Group Inc d/ba National Airlines","N8","National Air Cargo Group Inc d/ba National Airlines",2,2,210,0,210,210,
2019,2,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,408,20,428,418,
2019,2,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",3,3,7489,296,7785,7637,
2019,2,20397,"OH","PSA Airlines Inc.","OH","PSA Airlines Inc.",2,2,4142,8,4150,4146,
2019,2,20304,"OO","SkyWest Airlines Inc.","OO","SkyWest Airlines Inc.",3,3,13108,3860,16968,15038,
2019,2,20177,"PFQ","Asia Pacific","PFQ","Asia Pacific",1,1,55,3,58,57,
2019,2,21402,"PM","Prescott Support Company, Inc.","PM","Prescott Support Company, Inc.",1,4,26,24,50,38,
2019,2,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",3,3,214,0,214,214,
2019,2,19687,"QX","Horizon Air","QX","Horizon Air",2,2,3351,732,4083,3717,
2019,2,19998,"SI","Sierra Pacific Airlines","SI","Sierra Pacific Airlines",1,4,14,22,36,25,
2019,2,20422,"SY","Sun Country Airlines d/b/a MN Airlines","SY","Sun Country Airlines d/b/a MN Airlines",2,2,1523,29,1552,1538,
2019,2,20447,"U7","USA Jet Airlines Inc.","U7","USA Jet Airlines Inc.",2,2,413,35,448,431,
2019,2,19977,"UA","United Air Lines Inc.","UA","United Air Lines Inc.",3,3,77959,11092,89051,83505,
2019,2,20195,"WI","Sky Lease Cargo","WI","Sky Lease Cargo",2,2,383,54,437,410,
2019,2,20310,"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,1,171,11,182,177,
2019,2,19393,"WN","Southwest Airlines Co.","WN","Southwest Airlines Co.",3,3,58156,2292,60448,59302,
2019,2,20377,"X9","Omni Air International LLC","X9","Omni Air International LLC",2,2,974,3,977,976,
2019,2,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.",2,2,3424,12,3436,3430,
2019,2,20452,"YX","Republic Airline","YX","Republic Airline",3,3,5751,299,6050,5901,
2019,2,20046,"ZW","Air Wisconsin Airlines Corp","ZW","Air Wisconsin Airlines Corp",2,2,1418,482,1900,1659,
2019,3,21161,"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern","09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,2,497,35,532,515,
2019,3,21352,"0WQ","Avjet Corporation","0WQ","Avjet Corporation",1,1,154,0,154,154,
2019,3,21492,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,162,2,164,163,
2019,3,21518,"1EQ","KaiserAir, Inc.","1EQ","KaiserAir, Inc.",1,4,39,29,68,54,
2019,3,21577,"1TQ","Rhoades Aviation dba Transair","1TQ","Rhoades Aviation dba Transair",1,4,118,46,164,141,
2019,3,21652,"27Q","Jet Aviation Flight Services, Inc.","27Q","Jet Aviation Flight Services, Inc.",1,1,775,1,776,776,
2019,3,21712,"2HQ","Elite Airways LLC","2HQ","Elite Airways LLC",1,1,154,26,180,167,
2019,3,21754,"2PQ","21 Air LLC","2PQ","21 Air LLC",1,4,69,0,69,69,
2019,3,21854,"34Q","Polaris Aviation Solutions, LLC","34Q","Polaris Aviation Solutions, LLC",1,4,26,15,41,34,
2019,3,21875,"37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC","37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,32,1,33,33,
2019,3,21974,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1,1,71,1,72,72,
2019,3,20408,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",1,1,316,61,377,347,
2019,3,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,5892,137,6029,5961,
2019,3,20007,"5Y","Atlas Air Inc.","5Y","Atlas Air Inc.",3,3,3016,9,3025,3021,
2019,3,19874,"8C","Air Transport International","8C","Air Transport International",2,2,607,0,607,607,
2019,3,20363,"9E","Endeavor Air Inc.","9E","Endeavor Air Inc.",2,2,4411,108,4519,4465,
2019,3,20190,"9S","Southern Air Inc.","9S","Southern Air Inc.",2,2,329,0,329,329,
2019,3,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,94993,12279,107272,101133,
2019,3,20453,"ABX","ABX Air Inc","ABX","ABX Air Inc",2,2,437,2,439,438,
2019,3,20201,"AMQ","Ameristar Air Cargo","AMQ","Ameristar Air Cargo",1,4,52,0,52,52,
2019,3,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,15731,1859,17590,16661,
2019,3,20409,"B6","JetBlue Airways","B6","JetBlue Airways",3,3,16280,5204,21484,18882,
2019,3,21167,"CP","Compass Airlines","CP","Compass Airlines",2,2,1704,0,1704,1704,
2019,3,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.",3,3,79067,10892,89959,84513,
2019,3,20366,"EV","ExpressJet Airlines LLC","EV","ExpressJet Airlines Inc.",2,2,2744,2,2746,2745,
2019,3,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.",3,3,4405,42,4447,4426,
2019,3,20107,"FX","Federal Express Corporation","FX","Federal Express Corporation",3,3,178041,63835,241876,209959,
2019,3,20368,"G4","Allegiant Air","G4","Allegiant Air",3,3,3615,442,4057,3836,
2019,3,20500,"G7","GoJet Airlines LLC d/b/a United Express","G7","GoJet Airlines LLC d/b/a United Express",2,2,1258,0,1258,1258,
2019,3,20166,"GFQ","Gulf And Caribbean Cargo","GFQ","Gulf And Caribbean Cargo",1,1,112,0,112,112,
2019,3,20402,"GL","Miami Air International","GL","Miami Air International",2,2,335,14,349,342,
2019,3,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",3,3,5812,1487,7299,6556,
2019,3,20370,"KAQ","Kalitta Air LLC","KAQ","Kalitta Air LLC",2,2,1860,13,1873,1867,
2019,3,21629,"KD","Western Global","KD","Western Global",2,2,447,3,450,449,
2019,3,21634,"KH","Aloha Air Cargo","KH","Aloha Air Cargo",2,2,380,71,451,416,
2019,3,20372,"KLQ","Kalitta Charters II","KLQ","Kalitta Charters II",1,1,148,0,148,148,
2019,3,20169,"L2","Lynden Air Cargo Airlines","L2","Lynden Air Cargo Airlines",1,1,198,2,200,199,
2019,3,20151,"M6","Amerijet International","M6","Amerijet International",2,2,685,0,685,685,
2019,3,20398,"MQ","Envoy Air","MQ","Envoy Air",3,3,11834,4053,15887,13861,
2019,3,20405,"N8","National Air Cargo Group Inc d/ba National Airlines","N8","National Air Cargo Group Inc d/ba National Airlines",2,2,215,0,215,215,
2019,3,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,399,17,416,408,
2019,3,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",3,3,7570,305,7875,7723,
2019,3,20397,"OH","PSA Airlines Inc.","OH","PSA Airlines Inc.",2,2,4120,8,4128,4124,
2019,3,20304,"OO","SkyWest Airlines Inc.","OO","SkyWest Airlines Inc.",3,3,13129,3801,16930,15030,
2019,3,20177,"PFQ","Asia Pacific","PFQ","Asia Pacific",1,1,51,3,54,53,
2019,3,21402,"PM","Prescott Support Company, Inc.","PM","Prescott Support Company, Inc.",1,4,24,25,49,37,
2019,3,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",3,3,215,0,215,215,
2019,3,19687,"QX","Horizon Air","QX","Horizon Air",2,2,3360,749,4109,3735,
2019,3,19998,"SI","Sierra Pacific Airlines","SI","Sierra Pacific Airlines",1,4,14,22,36,25,
