Domestic Passenger - Available Seat Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","56980252","57332443"
"February 2015","51251151","51571087"
"March 2015","62860127","63194929"
"April 2015","61116542","61425958"
"May 2015","63393900","63741512"
"June 2015","65232975","65598575"
"July 2015","68556581","68844703"
"August 2015","66731034","67031387"
"September 2015","59511989","59869761"
"October 2015","62551351","62955593"
"November 2015","60467129","60815989"
"December 2015","63241200","63543808"
"January 2016","59672180","60020676"
"February 2016","57466886","57811421"
"March 2016","66469562","66819543"
"April 2016","63775639","64096501"
"May 2016","66545378","66834450"
"June 2016","68799372","69132012"
"July 2016","71524272","71800707"
"August 2016","69971945","70312972"
"September 2016","62507832","62913367"
"October 2016","64769650","65248336"
"November 2016","62885803","63306954"
"December 2016","65698076","66043128"
"January 2017","63084040","63525708"
"February 2017","57436642","57834126"
"March 2017","68737057","69188558"
"April 2017","66075380","66449589"
"May 2017","68835215","69176361"
"June 2017","71663412","72055296"
"July 2017","74806757","75137589"
"August 2017","73231170","73584280"
"September 2017","63120361","63581279"
"October 2017","68007445","68529628"
"November 2017","65149170","65640367"
"December 2017","68235415","68664941"
"January 2018","65566520","65965834"
"February 2018","60464271","60886453"
"March 2018","71674603","72152793"
"April 2018","70357641","70745003"
"May 2018","73310982","73676106"
"June 2018","75323764","75683356"
"July 2018","78406996","78751026"
"August 2018","76722877","77109260"
"September 2018","68530530","68891206"
"October 2018","72044942","72526591"
"November 2018","69098159","69617177"
"December 2018","71865620","72201895"
"January 2019","68754681","69116279"
"February 2019","62805313","63161918"
"March 2019","75651237","76061739"
"April 2019","72335257","72700007"
"May 2019","75386137","75725707"
"June 2019","76617273","76954706"
"July 2019","80106211","80416398"
"August 2019","78991990","79322149"
"September 2019","70649657","71092170"
"October 2019","74916150","75436333"
"November 2019","72119277","72641829"
"December 2019","76156163","76567702"
"January 2020","72430484","72875014"
"February 2020","68487823","68987150"
"March 2020","64963890","65278022"
"April 2020","19488456","19641228"
"May 2020","17936687","18127286"
"June 2020","24940235","25216310"
"July 2020","40280590","40578234"
"August 2020","42673403","43001210"
"September 2020","35906740","36261295"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
