Domestic Passenger - Available Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","7332458","7390814"
"February 2015","6678737","6735019"
"March 2015","8172254","8223688"
"April 2015","8060491","8108068"
"May 2015","8508708","8573912"
"June 2015","8761546","8827653"
"July 2015","8974449","9033107"
"August 2015","8962171","9019219"
"September 2015","7858953","7921903"
"October 2015","8126945","8199228"
"November 2015","7878027","7945322"
"December 2015","8377375","8441434"
"January 2016","7779752","7852280"
"February 2016","7510707","7582914"
"March 2016","9111800","9179164"
"April 2016","8462719","8529117"
"May 2016","8636320","8702703"
"June 2016","8948071","9025490"
"July 2016","9305695","9371881"
"August 2016","9109034","9185103"
"September 2016","8084797","8165202"
"October 2016","8390295","8490895"
"November 2016","8174082","8259690"
"December 2016","8830172","8895578"
"January 2017","8174969","8265690"
"February 2017","7462653","7532736"
"March 2017","8951586","9040681"
"April 2017","8573932","8637650"
"May 2017","8910966","8972758"
"June 2017","9288425","9355215"
"July 2017","10165889","10235990"
"August 2017","10031271","10100692"
"September 2017","8635518","8739935"
"October 2017","8850162","8939079"
"November 2017","8810932","8895255"
"December 2017","8922948","9001703"
"January 2018","8403725","8470646"
"February 2018","7727854","7814191"
"March 2018","9126375","9199034"
"April 2018","8967125","9041140"
"May 2018","9322500","9397435"
"June 2018","9624853","9700138"
"July 2018","9989460","10051518"
"August 2018","9782285","9845255"
"September 2018","8745567","8803394"
"October 2018","9235235","9343920"
"November 2018","8833211","8933722"
"December 2018","9186082","9258496"
"January 2019","8789222","8864508"
"February 2019","8033370","8106683"
"March 2019","9673040","9748297"
"April 2019","9232700","9304670"
"May 2019","9596310","9657022"
"June 2019","9758815","9827552"
"July 2019","10173744","10238874"
"August 2019","10685726","10767370"
"September 2019","9004979","9101005"
"October 2019","9619144","9735580"
"November 2019","9214491","9313540"
"December 2019","9721965","9810171"
"January 2020","9355622","9445596"
"February 2020","8785500","8894392"
"March 2020","8311413","8374605"
"April 2020","2472437","2509443"
"May 2020","2238907","2277909"
"June 2020","3129409","3210495"
"July 2020","5031864","5099372"
"August 2020","5373937","5437371"
"September 2020","4597682","4672192"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
