Domestic Passenger - Departures Performed (Flights)  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","634742","643318"
"February 2015","569978","579701"
"March 2015","683908","694014"
"April 2015","669813","680243"
"May 2015","690177","702404"
"June 2015","697448","711573"
"July 2015","733014","749397"
"August 2015","724738","741260"
"September 2015","658555","672803"
"October 2015","687735","698048"
"November 2015","651194","659494"
"December 2015","659795","666651"
"January 2016","636765","644770"
"February 2016","612178","621336"
"March 2016","697834","706698"
"April 2016","675647","684225"
"May 2016","703029","713538"
"June 2016","713728","725740"
"July 2016","731408","744785"
"August 2016","732587","747399"
"September 2016","673331","686697"
"October 2016","688366","699667"
"November 2016","658172","668097"
"December 2016","662172","670236"
"January 2017","645181","653444"
"February 2017","592064","600832"
"March 2017","697006","707188"
"April 2017","673402","683214"
"May 2017","706844","718125"
"June 2017","718966","731718"
"July 2017","739824","753012"
"August 2017","735639","749836"
"September 2017","652255","666189"
"October 2017","692007","703534"
"November 2017","656964","666797"
"December 2017","667224","675954"
"January 2018","653359","662448"
"February 2018","600506","609579"
"March 2018","698481","708988"
"April 2018","695316","704833"
"May 2018","724120","736793"
"June 2018","732365","746820"
"July 2018","760114","775416"
"August 2018","756662","773167"
"September 2018","686618","699366"
"October 2018","722678","734128"
"November 2018","678145","688575"
"December 2018","691068","698138"
"January 2019","667552","676244"
"February 2019","607928","616034"
"March 2019","729133","738969"
"April 2019","709028","719288"
"May 2019","740681","751725"
"June 2019","741671","754225"
"July 2019","769214","783588"
"August 2019","770258","784282"
"September 2019","705387","716851"
"October 2019","740208","751035"
"November 2019","694318","703803"
"December 2019","721355","729109"
"January 2020","700444","709035"
"February 2020","660332","668719"
"March 2020","616088","621791"
"April 2020","217193","220123"
"May 2020","214272","218891"
"June 2020","272520","279262"
"July 2020","409958","419056"
"August 2020","434467","444552"
"September 2020","378519","386693"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
