Domestic Passenger - Freight Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","75544","78930"
"February 2015","81204","85675"
"March 2015","89199","92135"
"April 2015","81414","84093"
"May 2015","82318","86935"
"June 2015","83594","89146"
"July 2015","81952","84873"
"August 2015","80592","84586"
"September 2015","78390","80902"
"October 2015","80606","84205"
"November 2015","78529","82141"
"December 2015","79733","84928"
"January 2016","62793","66621"
"February 2016","65862","71710"
"March 2016","72084","74453"
"April 2016","81766","86146"
"May 2016","83121","87712"
"June 2016","88289","92546"
"July 2016","86436","89679"
"August 2016","87110","91130"
"September 2016","85093","88164"
"October 2016","89820","95407"
"November 2016","86794","89529"
"December 2016","87261","90302"
"January 2017","82689","87041"
"February 2017","76931","81381"
"March 2017","93490","98024"
"April 2017","89508","93058"
"May 2017","95067","98902"
"June 2017","99782","104060"
"July 2017","93413","97304"
"August 2017","98048","102975"
"September 2017","90807","94718"
"October 2017","95859","100967"
"November 2017","92450","95668"
"December 2017","92242","95891"
"January 2018","79103","83060"
"February 2018","79160","85752"
"March 2018","88673","90941"
"April 2018","86749","90535"
"May 2018","93004","100090"
"June 2018","92752","97319"
"July 2018","90012","93286"
"August 2018","91061","95915"
"September 2018","84110","87597"
"October 2018","91170","99201"
"November 2018","87239","93647"
"December 2018","84675","88053"
"January 2019","80582","85146"
"February 2019","78411","83024"
"March 2019","89677","92122"
"April 2019","81654","86557"
"May 2019","85606","89258"
"June 2019","84254","89306"
"July 2019","82172","87041"
"August 2019","82487","87412"
"September 2019","78078","84125"
"October 2019","83431","89168"
"November 2019","82948","88846"
"December 2019","82925","86948"
"January 2020","78467","81297"
"February 2020","76501","83121"
"March 2020","69084","71714"
"April 2020","35618","39143"
"May 2020","39597","42468"
"June 2020","44017","46780"
"July 2020","49480","53595"
"August 2020","57765","61328"
"September 2020","57970","62895"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
