Domestic Passenger - Passenger Enplanements  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","49728","49917"
"February 2015","47165","47337"
"March 2015","59557","59753"
"April 2015","57698","57882"
"May 2015","60252","60449"
"June 2015","61811","62011"
"July 2015","65130","65324"
"August 2015","62774","62978"
"September 2015","55990","56239"
"October 2015","60892","61157"
"November 2015","57151","57366"
"December 2015","57870","58041"
"January 2016","52474","52642"
"February 2016","51111","51265"
"March 2016","61593","61763"
"April 2016","58894","59045"
"May 2016","62752","62909"
"June 2016","64757","64923"
"July 2016","66136","66299"
"August 2016","63500","63686"
"September 2016","58620","58882"
"October 2016","61709","61987"
"November 2016","59269","59502"
"December 2016","59178","59350"
"January 2017","54109","54297"
"February 2017","51078","51252"
"March 2017","63963","64181"
"April 2017","61099","61292"
"May 2017","64443","64633"
"June 2017","66746","66926"
"July 2017","68575","68725"
"August 2017","66665","66856"
"September 2017","57145","57405"
"October 2017","64625","64908"
"November 2017","61911","62162"
"December 2017","61374","61577"
"January 2018","55830","55998"
"February 2018","54078","54261"
"March 2018","66643","66856"
"April 2018","64557","64744"
"May 2018","67844","68024"
"June 2018","70278","70460"
"July 2018","72540","72697"
"August 2018","70339","70523"
"September 2018","60469","60696"
"October 2018","67082","67332"
"November 2018","64660","64922"
"December 2018","63646","63800"
"January 2019","58034","58190"
"February 2019","55679","55829"
"March 2019","70234","70412"
"April 2019","66938","67095"
"May 2019","71366","71527"
"June 2019","72791","72933"
"July 2019","75284","75420"
"August 2019","72718","72903"
"September 2019","63981","64207"
"October 2019","69922","70174"
"November 2019","64817","65076"
"December 2019","69718","69912"
"January 2020","61612","61800"
"February 2020","59850","60030"
"March 2020","34411","34524"
"April 2020","2877","2904"
"May 2020","8238","8285"
"June 2020","16206","16283"
"July 2020","22874","22958"
"August 2020","23910","24007"
"September 2020","23850","23954"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
