Domestic Passenger - Revenue Aircraft Hours (Airborne)  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","1051494","1059947"
"February 2015","940141","948730"
"March 2015","1139517","1148870"
"April 2015","1114317","1123035"
"May 2015","1139213","1149781"
"June 2015","1154641","1167568"
"July 2015","1206697","1220081"
"August 2015","1180513","1194171"
"September 2015","1060559","1073065"
"October 2015","1116061","1126216"
"November 2015","1080662","1089253"
"December 2015","1121093","1128912"
"January 2016","1063955","1072622"
"February 2016","1022414","1031313"
"March 2016","1179109","1188855"
"April 2016","1125418","1134605"
"May 2016","1168606","1178837"
"June 2016","1191550","1203691"
"July 2016","1226399","1239051"
"August 2016","1208441","1222171"
"September 2016","1090404","1103535"
"October 2016","1126037","1137932"
"November 2016","1089385","1100366"
"December 2016","1143342","1152760"
"January 2017","1102612","1112768"
"February 2017","1002124","1012062"
"March 2017","1189095","1200981"
"April 2017","1140703","1151228"
"May 2017","1182333","1193572"
"June 2017","1212257","1225505"
"July 2017","1250852","1263457"
"August 2017","1233512","1247039"
"September 2017","1070679","1084518"
"October 2017","1154365","1167246"
"November 2017","1110622","1122543"
"December 2017","1161924","1172594"
"January 2018","1122042","1132627"
"February 2018","1043895","1055092"
"March 2018","1211527","1224315"
"April 2018","1192345","1203113"
"May 2018","1230015","1242719"
"June 2018","1252844","1266441"
"July 2018","1297219","1310845"
"August 2018","1281014","1295575"
"September 2018","1150304","1162463"
"October 2018","1216397","1227752"
"November 2018","1166242","1178084"
"December 2018","1208663","1216229"
"January 2019","1162110","1171805"
"February 2019","1066447","1075524"
"March 2019","1270421","1281302"
"April 2019","1219268","1229885"
"May 2019","1265331","1294318"
"June 2019","1273395","1285551"
"July 2019","1311233","1324093"
"August 2019","1304148","1316856"
"September 2019","1175862","1187577"
"October 2019","1249188","1260928"
"November 2019","1197169","1208320"
"December 2019","1267611","1277324"
"January 2020","1216448","1226942"
"February 2020","1148017","1158195"
"March 2020","1089283","1096299"
"April 2020","345561","349117"
"May 2020","325361","330607"
"June 2020","431798","439988"
"July 2020","670570","680006"
"August 2020","709900","720194"
"September 2020","613076","621893"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
