Domestic Passenger - Revenue Aircraft Miles Flown  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","433449","436193"
"February 2015","387757","390379"
"March 2015","473618","476526"
"April 2015","461059","463557"
"May 2015","474089","476847"
"June 2015","485601","488888"
"July 2015","509925","513050"
"August 2015","497423","500562"
"September 2015","445995","449237"
"October 2015","467591","470687"
"November 2015","450578","453299"
"December 2015","467324","469883"
"January 2016","443333","446214"
"February 2016","425880","428676"
"March 2016","490811","493812"
"April 2016","470073","472838"
"May 2016","488324","490972"
"June 2016","502946","506087"
"July 2016","520558","523521"
"August 2016","510871","514156"
"September 2016","459340","462898"
"October 2016","474466","478240"
"November 2016","458490","462106"
"December 2016","475832","478950"
"January 2017","457936","461420"
"February 2017","416743","419997"
"March 2017","495372","499316"
"April 2017","476532","479849"
"May 2017","495049","498310"
"June 2017","512667","516349"
"July 2017","532583","535910"
"August 2017","522651","526294"
"September 2017","453935","458066"
"October 2017","487984","492268"
"November 2017","466377","470568"
"December 2017","486370","490110"
"January 2018","468923","472529"
"February 2018","432034","435815"
"March 2018","507380","511665"
"April 2018","499987","503610"
"May 2018","518630","522361"
"June 2018","532265","535939"
"July 2018","552891","556356"
"August 2018","542981","546800"
"September 2018","487408","490848"
"October 2018","512121","515597"
"November 2018","487735","491724"
"December 2018","506717","509197"
"January 2019","485025","488227"
"February 2019","442438","445465"
"March 2019","532233","535815"
"April 2019","510650","513975"
"May 2019","530802","533940"
"June 2019","538203","541513"
"July 2019","560335","563578"
"August 2019","554980","558232"
"September 2019","499863","503329"
"October 2019","527948","531637"
"November 2019","505025","508812"
"December 2019","533427","536685"
"January 2020","508546","512086"
"February 2020","480147","483642"
"March 2020","456208","458657"
"April 2020","142770","143933"
"May 2020","133759","135464"
"June 2020","179923","182430"
"July 2020","282831","285666"
"August 2020","299368","302347"
"September 2020","256774","259491"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
