Domestic Passenger - Revenue Passenger Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","45137553","45309148"
"February 2015","42248126","42399307"
"March 2015","53924946","54092109"
"April 2015","51883047","52027990"
"May 2015","54255249","54422765"
"June 2015","56994808","57163783"
"July 2015","60430846","60563817"
"August 2015","57819224","57965844"
"September 2015","49857958","50045430"
"October 2015","54074371","54283082"
"November 2015","50913043","51099823"
"December 2015","53118963","53275254"
"January 2016","48074919","48236665"
"February 2016","46460173","46611600"
"March 2016","56704006","56859309"
"April 2016","53623642","53770248"
"May 2016","57131553","57255603"
"June 2016","60278335","60426725"
"July 2016","62349264","62465229"
"August 2016","59282193","59429934"
"September 2016","52660648","52861742"
"October 2016","55320061","55553135"
"November 2016","53280611","53486298"
"December 2016","54812269","54954842"
"January 2017","50136641","50319086"
"February 2017","46484890","46656963"
"March 2017","58791439","58996313"
"April 2017","56302476","56472165"
"May 2017","59016291","59176066"
"June 2017","62468978","62649839"
"July 2017","65035238","65170842"
"August 2017","62520313","62673950"
"September 2017","51871588","52077506"
"October 2017","58257903","58497446"
"November 2017","55883967","56112502"
"December 2017","56980320","57173701"
"January 2018","51716869","51872373"
"February 2018","49452398","49636494"
"March 2018","61707206","61907663"
"April 2018","59340837","59513572"
"May 2018","62580573","62740812"
"June 2018","66095834","66245773"
"July 2018","69091770","69231934"
"August 2018","66132066","66303275"
"September 2018","55431382","55618183"
"October 2018","61011632","61239639"
"November 2018","58779362","59005266"
"December 2018","59477976","59620147"
"January 2019","54357953","54518594"
"February 2019","51406118","51551483"
"March 2019","65407751","65587135"
"April 2019","61953259","62116465"
"May 2019","65811235","65968843"
"June 2019","68413224","68543487"
"July 2019","71276651","71407977"
"August 2019","68148009","68300086"
"September 2019","58213796","58424862"
"October 2019","63323793","63561778"
"November 2019","59158742","59394049"
"December 2019","65288124","65460027"
"January 2020","57630564","57814028"
"February 2020","55336175","55526240"
"March 2020","32526576","32640352"
"April 2020","2550810","2581444"
"May 2020","6987662","7041583"
"June 2020","14007512","14093143"
"July 2020","20062212","20147966"
"August 2020","20946316","21035915"
"September 2020","21147996","21254254"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
