Domestic Passenger - Total Revenue Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","4627982","4648528"
"February 2015","4339362","4358952"
"March 2015","5518977","5538630"
"April 2015","5308231","5325405"
"May 2015","5545698","5567068"
"June 2015","5820089","5842541"
"July 2015","6165485","6181705"
"August 2015","5900772","5919429"
"September 2015","5101390","5122651"
"October 2015","5529493","5553964"
"November 2015","5205603","5227894"
"December 2015","5434401","5455226"
"January 2016","4909201","4929205"
"February 2016","4741775","4762767"
"March 2016","5768107","5786008"
"April 2016","5467021","5486066"
"May 2016","5821389","5838387"
"June 2016","6147099","6166196"
"July 2016","6357329","6372170"
"August 2016","6050602","6069398"
"September 2016","5386772","5409953"
"October 2016","5661743","5690639"
"November 2016","5454331","5477636"
"December 2016","5615550","5632850"
"January 2017","5136520","5159117"
"February 2017","4761362","4783023"
"March 2017","6013704","6038731"
"April 2017","5759938","5780464"
"May 2017","6036401","6056218"
"June 2017","6386225","6408593"
"July 2017","6638071","6655524"
"August 2017","6392138","6412432"
"September 2017","5316113","5340618"
"October 2017","5962047","5991126"
"November 2017","5722935","5749013"
"December 2017","5841322","5864319"
"January 2018","5294953","5314461"
"February 2018","5063711","5088713"
"March 2018","6302710","6325024"
"April 2018","6062199","6083261"
"May 2018","6391905","6415016"
"June 2018","6741844","6761405"
"July 2018","7039317","7056608"
"August 2018","6743805","6765782"
"September 2018","5664638","5686805"
"October 2018","6231359","6262192"
"November 2018","6005658","6034658"
"December 2018","6078197","6095793"
"January 2019","5559112","5579741"
"February 2019","5254732","5273883"
"March 2019","6668300","6688686"
"April 2019","6314764","6335988"
"May 2019","6702487","6721900"
"June 2019","6959562","6977641"
"July 2019","7241196","7259199"
"August 2019","6929660","6949794"
"September 2019","5930281","5957437"
"October 2019","6452392","6481928"
"November 2019","6034796","6064226"
"December 2019","6654994","6676211"
"January 2020","5880525","5901703"
"February 2020","5643217","5668845"
"March 2020","3352123","3366131"
"April 2020","306032","312633"
"May 2020","755210","763483"
"June 2020","1464827","1476161"
"July 2020","2080931","2093621"
"August 2020","2180262","2192787"
"September 2020","2200389","2215943"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
