,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
0,-392212.0,-618716.0,,90.0,462011.0,,1513665.0,1985316.0,207151.0,89999.0,,262472.0,2604032.0,FX,Federal Express Corporation,A,2019,2,
1,-384441.0,-617926.0,,410.0,504293.0,,1514804.0,2034978.0,210015.0,187921.0,,262979.0,2652904.0,FX,Federal Express Corporation,A,2019,4,
2,-309146.0,-610020.0,,355.0,471623.0,,1485315.0,1969880.0,204111.0,136150.0,,261031.0,2579900.0,FX,Federal Express Corporation,A,2019,3,
3,-299806.0,-308655.0,,3407.0,493415.0,,594476.0,1105672.0,255218.0,102259.0,,194433.0,1414327.0,FX,Federal Express Corporation,P,2019,4,
4,-276899.0,-273748.0,,436.0,467875.0,,625588.0,1118098.0,253729.0,88117.0,,187679.0,1391846.0,FX,Federal Express Corporation,P,2019,2,
5,-247223.0,-503503.0,,189.0,464570.0,,1611064.0,2087890.0,197313.0,87097.0,,252475.0,2591393.0,FX,Federal Express Corporation,A,2019,1,
6,-229686.0,-228386.0,,1967.0,520501.0,,598889.0,1133763.0,248597.0,114811.0,,190561.0,1362149.0,FX,Federal Express Corporation,P,2019,3,
7,-205106.48,-251094.56,0.0,0.0,159361.54,68779.14,0.0,392096.4,186060.81,62002.49,10812.34,45779.31,643190.96,5Y,Atlas Air Inc.,I,2019,4,
8,-127549.0,-202416.0,,748.0,475687.0,,565588.0,1044724.0,237534.0,85794.0,,173580.0,1247140.0,FX,Federal Express Corporation,P,2019,1,
9,-123345.0,-116712.0,,0.0,101686.0,,169446.0,281477.0,31482.0,13603.0,,94441.0,398189.0,FX,Federal Express Corporation,L,2019,2,
10,-118206.44,-118206.44,349171.57,7266.75,39117.94,0.0,14415.61,499147.14,233281.21,81559.82,60146.74,76754.05,617353.57,AA,American Airlines Inc.,P,2019,4,
11,-111016.0,-115850.0,,0.0,86469.0,,167273.0,263620.0,28198.0,11456.0,,91705.0,379470.0,FX,Federal Express Corporation,L,2019,1,
12,-102958.99,-127562.57,0.0,0.0,73892.37,0.0,0.0,85379.14,112323.04,46119.84,0.0,23855.62,212941.71,5X,United Parcel Service,A,2019,1,
13,-95664.36,-126503.67,0.0,0.0,75990.44,0.0,0.0,89133.2,118014.7,44396.9,0.0,22761.87,215636.87,5X,United Parcel Service,A,2019,2,
14,-93486.56,-116001.28,0.0,0.0,927476.19,0.0,-88.79,964789.56,577484.14,224810.99,0.0,133429.89,1080790.85,5X,United Parcel Service,D,2019,4,
15,-93458.0,-108356.0,,0.0,111889.0,,174334.0,295471.0,38862.0,9943.0,,90907.0,403827.0,FX,Federal Express Corporation,L,2019,4,
16,-93340.74,-93340.74,353775.14,5905.59,40447.58,0.0,13705.23,497413.84,230806.4,71187.77,59362.32,73351.51,590754.58,AA,American Airlines Inc.,P,2019,2,
17,-89835.61,-89835.61,367131.72,5398.31,36532.38,0.0,12365.22,500364.57,225560.21,70772.18,58587.11,71640.42,590200.17,AA,American Airlines Inc.,P,2019,3,
18,-89518.95,-89518.95,673246.69,13277.05,81023.1,0.0,20062.9,915071.39,400842.02,124077.63,97056.23,121067.95,1004590.34,AA,American Airlines Inc.,A,2019,1,
19,-89200.9,-118603.43,0.0,0.0,101887.97,43974.02,0.0,250687.25,83995.28,39121.43,6912.88,29269.05,369290.68,5Y,Atlas Air Inc.,D,2019,4,
20,-83894.23,-83894.23,947115.41,15228.9,82993.04,0.0,30065.65,1262688.06,521143.49,175548.7,129407.54,165144.29,1346582.29,AA,American Airlines Inc.,A,2019,4,
21,-79097.15,-79097.15,387789.23,6717.87,40848.76,0.0,14797.6,543736.24,237272.71,79270.74,62044.02,77397.26,622833.39,AA,American Airlines Inc.,P,2019,1,
22,-77492.99,-114359.28,0.0,0.0,71788.95,0.0,0.0,84756.12,111959.12,40609.86,0.0,21826.59,199115.4,5X,United Parcel Service,A,2019,3,
23,-77011.0,-103201.0,,0.0,104999.0,,169676.0,284586.0,36017.0,12855.0,,87522.0,387787.0,FX,Federal Express Corporation,L,2019,3,
24,-70317.11,-78662.88,1051126.01,17559.8,107326.22,4675.0,58118.22,1265503.84,521924.54,94686.33,170789.24,168228.55,1344166.71,UA,United Air Lines Inc.,P,2019,4,
25,-57302.49,-37041.73,0.0,0.0,148441.98,62056.52,0.0,354618.28,186920.16,81579.18,9477.6,44981.88,391660.0,5Y,Atlas Air Inc.,I,2019,1,
26,-38546.98,-43039.58,0.0,0.0,135386.97,67819.54,0.0,345402.89,189324.82,70305.39,12378.78,43901.85,388442.47,5Y,Atlas Air Inc.,I,2019,3,
27,-35746.5,-35746.6,81588.64,0.0,0.0,0.0,0.0,81588.64,46847.12,39614.06,6381.6,4218.41,117335.24,EV,ExpressJet Airlines LLC,D,2019,2,
28,-26889.75,-755.0,1048333.37,13358.36,91881.6,4675.0,60567.87,1280582.47,513419.63,93374.61,176228.52,178752.35,1281337.46,UA,United Air Lines Inc.,P,2019,1,
29,-22249.5,-21522.05,165805.76,0.0,0.0,0.0,0.0,165805.76,81088.67,69004.18,18790.32,1003.15,187327.81,9E,Endeavor Air Inc.,D,2019,4,
30,-19378.28,-20393.18,202536.51,0.0,0.0,0.0,0.0,202536.3,124348.34,47718.41,17748.27,9593.37,222929.49,OH,PSA Airlines Inc.,D,2019,4,
31,-18919.86,-16705.31,67746.54,0.0,0.0,0.0,23.24,67769.77,45251.47,22893.79,3806.15,1091.75,84475.08,ZW,Air Wisconsin Airlines Corp,D,2019,3,
32,-17935.87,-17374.11,154469.24,0.0,0.0,0.0,0.0,154469.24,79698.48,57096.91,18408.56,761.04,171843.35,9E,Endeavor Air Inc.,D,2019,1,
33,-16631.65,-16036.42,161108.43,0.0,0.0,0.0,0.0,161108.43,78910.43,60468.42,19227.75,1170.55,177144.85,9E,Endeavor Air Inc.,D,2019,3,
34,-15536.1,8893.36,,2463.46,101737.59,,31533.25,233603.36,88044.23,52399.03,,17462.86,224710.0,KAQ,Kalitta Air LLC,I,2019,4,
35,-14303.36,-14264.97,0.0,0.0,0.0,0.0,0.0,33956.88,31730.08,5441.89,0.0,3912.85,48221.84,KD,Western Global,I,2019,3,
36,-14201.25,-14213.42,93914.66,0.0,0.0,0.0,0.0,93914.66,42704.68,34907.62,6508.09,4339.7,108128.08,EV,ExpressJet Airlines LLC,D,2019,3,
37,-14148.01,-16890.88,77829.75,0.0,0.0,0.0,0.0,77829.75,23577.42,37941.21,4500.68,2486.17,94720.63,EV,ExpressJet Airlines LLC,D,2019,1,
38,-10163.1,-10175.25,98210.22,0.0,0.0,0.0,0.0,98210.22,43552.52,33994.6,6945.94,4105.13,108385.46,EV,ExpressJet Airlines LLC,D,2019,4,
39,-10018.03,-3496.99,0.0,,26154.97,0.0,0.0,50722.37,23426.92,22255.71,0.0,643.78,54219.35,ABX,ABX Air Inc,D,2019,2,
40,-9609.65,-7149.87,,1983.35,88917.21,,23136.49,211812.99,80930.3,57255.53,,15279.82,218962.85,KAQ,Kalitta Air LLC,I,2019,3,
41,-9017.33,-8878.77,0.0,3609.72,879.53,0.0,1236.7,9568.96,5842.37,6821.15,0.0,0.0,18447.73,L2,Lynden Air Cargo Airlines,D,2019,1,
42,-8880.92,-11915.7,343923.92,0.0,0.0,0.0,22.45,344025.3,117565.22,67570.35,12379.27,65373.14,355941.0,MQ,Envoy Air,D,2019,3,
43,-8569.87,614.74,345850.48,0.0,0.0,0.0,22.47,345949.16,115771.9,68291.29,12002.95,67140.12,345334.42,MQ,Envoy Air,D,2019,4,
44,-8542.69,-7765.92,,26605.46,20033.66,,,48567.63,19369.94,19568.8,,4825.21,56333.55,KAQ,Kalitta Air LLC,D,2019,3,
45,-8411.95,-8082.28,164853.74,0.0,0.0,0.0,0.0,164853.74,75450.0,64076.95,17298.41,912.25,172936.02,9E,Endeavor Air Inc.,D,2019,2,
46,-6907.92,-5956.14,0.0,307.42,40752.79,0.0,0.0,50194.22,22306.72,8110.34,,2607.48,56150.36,M6,Amerijet International,L,2019,2,
47,-6292.08,-7586.58,0.0,0.0,64361.23,0.0,0.0,64361.23,37056.52,18498.88,0.0,9339.42,71947.82,5X,United Parcel Service,L,2019,2,
48,-5708.15,-5389.73,0.0,4791.69,2193.11,0.0,1280.68,16343.42,6531.65,7902.51,0.0,0.0,21733.15,L2,Lynden Air Cargo Airlines,D,2019,4,
49,-5685.39,-5508.2,0.0,3755.49,2692.48,0.0,1422.37,15731.82,6614.46,7910.54,0.0,0.0,21240.02,L2,Lynden Air Cargo Airlines,D,2019,2,
50,-5585.69,-6840.88,61498.81,0.0,0.0,0.0,40.72,61539.52,29765.64,22822.2,3701.34,1108.22,68380.4,ZW,Air Wisconsin Airlines Corp,D,2019,1,
51,-5487.86,-5361.06,0.0,0.0,0.0,5201.22,0.0,5207.95,7201.5,813.67,635.9,148.61,10569.01,N8,National Air Cargo Group Inc d/ba National Airlines,D,2019,4,
52,-5483.67,-6365.85,204403.78,0.0,0.0,0.0,0.0,204404.47,116646.16,46218.39,16521.56,8164.93,210770.32,OH,PSA Airlines Inc.,D,2019,3,
53,-5354.54,-6085.21,0.0,0.0,66247.62,0.0,0.0,66247.62,36177.28,18853.2,0.0,9683.96,72332.83,5X,United Parcel Service,L,2019,1,
