"NET_INCOME","OP_PROFIT_LOSS","TRANS_REV_PAX","MAIL","PROP_FREIGHT","CHARTER_PAX","TRANS_REVENUE","OP_REVENUES","FLYING_OPS","MAINTENANCE","PAX_SERVICE","AIRCFT_SERVICES","OP_EXPENSES","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","YEAR","QUARTER",
-4572596.01,-2908378.00,412343.00,5264.00,14930.00,7101.00,494562.00,1207881.00,1156551.00,204428.00,300142.00,661741.00,4116259.00,"DL","Delta Air Lines Inc.","D",2020,2,
-4526428.43,-2015723.00,1160252.00,13532.00,25032.00,36963.00,926282.00,2599495.00,1216704.00,280736.00,305740.00,800765.00,4615218.00,"DL","Delta Air Lines Inc.","D",2020,3,
-1735853.74,-2102709.99,3699697.77,3311.16,17653.30,2297.92,1548838.80,6047387.70,1980083.92,769270.63,526995.32,677679.88,8150097.69,"AA","American Airlines Inc.","D",2020,1,
-1538579.79,-4029704.61,612416.29,4719.55,24814.34,32.89,343876.32,1414451.07,1326300.50,655811.56,389308.98,525826.53,5444155.68,"AA","American Airlines Inc.","D",2020,2,
-1476828.20,-4146599.97,1487012.29,3510.43,24958.67,1488.97,667922.32,2706259.74,1444215.85,667429.47,423661.96,568293.61,6852859.71,"AA","American Airlines Inc.","D",2020,3,
-1281719.73,-2127672.91,646677.07,15609.83,35329.93,43352.98,860312.44,1671673.11,734857.81,247234.01,218474.71,946306.02,3799346.02,"UA","United Air Lines Inc.","D",2020,3,
-1143876.00,-2628872.00,1354022.00,0.00,40548.00,6220.00,11648.00,1773269.00,1672609.00,363182.00,570396.00,941336.00,4402141.00,"WN","Southwest Airlines Co.","D",2020,3,
-1100395.86,-2198532.83,268357.67,3933.68,22041.01,18224.49,582431.86,925843.42,500270.79,243810.18,187052.71,882583.92,3124376.26,"UA","United Air Lines Inc.","D",2020,2,
-965139.40,-589042.69,2864963.75,17366.23,44091.73,23007.79,1918258.66,5077445.07,1349962.00,496515.52,399750.11,1096753.06,5666487.76,"UA","United Air Lines Inc.","D",2020,1,
-914578.00,-2216779.00,618890.00,0.00,37676.00,3375.00,12538.00,1007273.00,1244376.00,328869.00,345720.00,703594.00,3224052.00,"WN","Southwest Airlines Co.","D",2020,2,
-653336.00,-326933.00,36594.00,4282.00,20753.00,15587.00,7739.00,168163.00,141577.00,18830.00,60219.00,132768.00,495096.00,"DL","Delta Air Lines Inc.","A",2020,2,
-528143.00,-386601.00,4056268.00,13081.00,39603.00,54045.00,1360411.00,6383908.00,1803952.00,653165.00,655450.00,1203743.00,6770509.00,"DL","Delta Air Lines Inc.","D",2020,1,
-479902.00,-943486.00,348395.00,8840.00,22658.00,4816.00,243420.00,682819.00,309330.00,124952.00,78062.00,152726.00,1626306.00,"AS","Alaska Airlines Inc.","D",2020,3,
-456254.00,-152773.00,103566.00,5920.00,52855.00,12517.00,2326.00,242964.00,142731.00,23250.00,37531.00,98298.00,395737.00,"DL","Delta Air Lines Inc.","A",2020,3,
-397490.00,-615775.00,,509.00,485434.00,,1434974.00,1948833.00,204407.00,158602.00,,263494.00,2564608.00,"FX","Federal Express Corporation","A",2020,1,
-385244.36,-385244.36,51639.12,9013.43,66208.21,0.00,1810.08,140635.63,136552.73,57777.40,36594.87,49011.55,525879.99,"AA","American Airlines Inc.","A",2020,3,
