International Passenger - Available Seat Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","26440937","27244730"
"February 2015","23296508","24074630"
"March 2015","27463780","28139140"
"April 2015","27501409","28304597"
"May 2015","29383725","30110911"
"June 2015","30466059","31220287"
"July 2015","32434741","33422503"
"August 2015","31874872","32730711"
"September 2015","27799789","28526826"
"October 2015","26973726","27786502"
"November 2015","24475413","25014921"
"December 2015","27027014","27675970"
"January 2016","26652530","27408761"
"February 2016","24488538","25217326"
"March 2016","27687086","28330379"
"April 2016","27831274","28607254"
"May 2016","29835963","30575827"
"June 2016","31066777","31848130"
"July 2016","32876957","33862159"
"August 2016","31865374","32829323"
"September 2016","27937813","28511015"
"October 2016","27400049","28075388"
"November 2016","24010854","24561195"
"December 2016","27285335","27803496"
"January 2017","26873307","27638879"
"February 2017","23929313","24512677"
"March 2017","28025943","28684734"
"April 2017","28701683","29392656"
"May 2017","30616375","31212345"
"June 2017","32046913","32674106"
"July 2017","33825777","34694036"
"August 2017","32551356","33355244"
"September 2017","28288886","28987674"
"October 2017","28439370","29188577"
"November 2017","25141353","25735658"
"December 2017","28047806","28551530"
"January 2018","27489589","28123684"
"February 2018","24692007","25350891"
"March 2018","29008946","29765394"
"April 2018","29162731","29843610"
"May 2018","31239896","31990728"
"June 2018","32588522","33352082"
"July 2018","34270223","34990321"
"August 2018","33323388","33868575"
"September 2018","29565663","30003219"
"October 2018","29164529","29751917"
"November 2018","25769396","26324324"
"December 2018","28562797","28911880"
"January 2019","28232476","28827892"
"February 2019","25110136","25662010"
"March 2019","29658247","30310606"
"April 2019","29521585","30129461"
"May 2019","32038912","32621586"
"June 2019","33480184","34160692"
"July 2019","34846257","35654977"
"August 2019","34148515","34649989"
"September 2019","30437711","31005785"
"October 2019","29518411","30271138"
"November 2019","26387526","26961682"
"December 2019","29182927","29677089"
"January 2020","28752405","29426733"
"February 2020","24348130","25058024"
"March 2020","17532606","18268933"
"April 2020","1516214","2007887"
"May 2020","1724448","2158184"
"June 2020","2553949","3113515"
"July 2020","5437661","6087483"
"August 2020","7048257","7593523"
"September 2020","7241313","7737104"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
