International Passenger - Available Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","4238287","4377391"
"February 2015","3747491","3913318"
"March 2015","4405763","4569995"
"April 2015","4426161","4594407"
"May 2015","4973101","5182466"
"June 2015","5134879","5304196"
"July 2015","5443415","5672196"
"August 2015","5362710","5549217"
"September 2015","4767570","4940630"
"October 2015","4602423","4768745"
"November 2015","4118846","4296292"
"December 2015","4506155","4638122"
"January 2016","4429944","4621935"
"February 2016","4064712","4224380"
"March 2016","4625904","4771271"
"April 2016","4687128","4911098"
"May 2016","5068831","5292679"
"June 2016","5221458","5465707"
"July 2016","5502018","5810861"
"August 2016","5361586","5639173"
"September 2016","4784990","4958337"
"October 2016","4680364","4889564"
"November 2016","4021111","4198723"
"December 2016","4496123","4642295"
"January 2017","4425035","4600894"
"February 2017","3954351","4066302"
"March 2017","4624984","4805075"
"April 2017","4767696","4942078"
"May 2017","5165716","5280815"
"June 2017","5373066","5501975"
"July 2017","5687576","5920320"
"August 2017","5520466","5720709"
"September 2017","4875867","5097268"
"October 2017","4868279","5010332"
"November 2017","4271785","4428894"
"December 2017","4700373","4838945"
"January 2018","4603839","4738856"
"February 2018","4122091","4301058"
"March 2018","4805669","4953312"
"April 2018","4909974","5082465"
"May 2018","5302045","5480408"
"June 2018","5498211","5661326"
"July 2018","5763192","5932256"
"August 2018","5631461","5747536"
"September 2018","5068449","5163419"
"October 2018","4987768","5140421"
"November 2018","4296931","4412098"
"December 2018","4717649","4803120"
"January 2019","4651637","4807383"
"February 2019","4123234","4270674"
"March 2019","4869341","5048737"
"April 2019","4914066","5054795"
"May 2019","5393040","5522014"
"June 2019","5604889","5770443"
"July 2019","5832874","6029771"
"August 2019","5754709","5928582"
"September 2019","5222543","5423809"
"October 2019","5028059","5265877"
"November 2019","4391995","4540499"
"December 2019","4793511","4918153"
"January 2020","4725785","4912346"
"February 2020","3951531","4137021"
"March 2020","2807240","2984970"
"April 2020","289571","459933"
"May 2020","423167","613338"
"June 2020","614298","900430"
"July 2020","1015086","1240582"
"August 2020","1304963","1471515"
"September 2020","1479533","1648292"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
