International Passenger - Departures Performed (Flights)  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","70992","73576"
"February 2015","63582","65931"
"March 2015","73974","76396"
"April 2015","71801","74193"
"May 2015","72591","74859"
"June 2015","74910","77388"
"July 2015","79437","82901"
"August 2015","76853","79592"
"September 2015","63188","65306"
"October 2015","64525","66594"
"November 2015","64391","66144"
"December 2015","71919","74241"
"January 2016","71464","73874"
"February 2016","66754","68838"
"March 2016","75125","77364"
"April 2016","72029","74377"
"May 2016","73038","75425"
"June 2016","75906","78250"
"July 2016","79554","83163"
"August 2016","75697","78605"
"September 2016","63530","65461"
"October 2016","64012","66030"
"November 2016","61857","63654"
"December 2016","73003","74618"
"January 2017","71964","73884"
"February 2017","64446","66114"
"March 2017","74375","76266"
"April 2017","72853","74802"
"May 2017","73580","75464"
"June 2017","77134","79172"
"July 2017","81996","84922"
"August 2017","76242","78921"
"September 2017","60577","62442"
"October 2017","64941","66848"
"November 2017","63069","64826"
"December 2017","71935","73801"
"January 2018","70251","72617"
"February 2018","63920","66115"
"March 2018","75150","77572"
"April 2018","72544","75160"
"May 2018","73760","76327"
"June 2018","77863","80629"
"July 2018","82031","84978"
"August 2018","77455","79064"
"September 2018","65352","66517"
"October 2018","66879","68392"
"November 2018","64932","67185"
"December 2018","73479","74868"
"January 2019","72827","74581"
"February 2019","65627","67140"
"March 2019","77750","79741"
"April 2019","73411","75511"
"May 2019","75405","77263"
"June 2019","79801","81912"
"July 2019","83290","85285"
"August 2019","79515","80925"
"September 2019","64669","66285"
"October 2019","66172","67806"
"November 2019","64487","66770"
"December 2019","72286","74909"
"January 2020","70591","73377"
"February 2020","64904","67801"
"March 2020","51438","53870"
"April 2020","5032","6067"
"May 2020","5063","6477"
"June 2020","7345","8780"
"July 2020","16979","18824"
"August 2020","18382","19840"
"September 2020","18577","19663"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
