International Passenger - Freight Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","430824","448114"
"February 2015","468426","484887"
"March 2015","524032","538539"
"April 2015","467492","490845"
"May 2015","477400","499695"
"June 2015","481336","504106"
"July 2015","480104","504379"
"August 2015","471625","491768"
"September 2015","471937","491333"
"October 2015","509742","536469"
"November 2015","472881","490182"
"December 2015","455129","472812"
"January 2016","411230","430853"
"February 2016","420138","439497"
"March 2016","479339","497075"
"April 2016","476198","496983"
"May 2016","487533","511072"
"June 2016","482113","505188"
"July 2016","488060","515090"
"August 2016","466716","489293"
"September 2016","501531","519872"
"October 2016","564598","587769"
"November 2016","502257","518356"
"December 2016","497573","511985"
"January 2017","452418","475520"
"February 2017","462471","481277"
"March 2017","556283","574848"
"April 2017","540513","561076"
"May 2017","575859","595178"
"June 2017","579559","600455"
"July 2017","592763","616590"
"August 2017","568354","592411"
"September 2017","574056","598799"
"October 2017","634091","656084"
"November 2017","575268","591768"
"December 2017","568605","586194"
"January 2018","500268","521357"
"February 2018","516726","539216"
"March 2018","615002","636217"
"April 2018","593753","617223"
"May 2018","602424","623866"
"June 2018","613032","631540"
"July 2018","619728","640838"
"August 2018","603240","617572"
"September 2018","595237","606543"
"October 2018","638910","659053"
"November 2018","546881","557676"
"December 2018","545902","556211"
"January 2019","486626","508002"
"February 2019","483442","501341"
"March 2019","584124","605269"
"April 2019","524516","543881"
"May 2019","555465","571747"
"June 2019","545324","564478"
"July 2019","542626","567794"
"August 2019","527928","543898"
"September 2019","534498","553709"
"October 2019","559961","584994"
"November 2019","525290","543549"
"December 2019","511392","524269"
"January 2020","462074","483816"
"February 2020","443758","464428"
"March 2020","305971","319769"
"April 2020","59208","79383"
"May 2020","92319","123903"
"June 2020","121416","147768"
"July 2020","164970","186518"
"August 2020","222095","247219"
"September 2020","270846","296560"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
