International Passenger - Passenger Enplanements  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","8056","8314"
"February 2015","6995","7235"
"March 2015","8643","8888"
"April 2015","8221","8461"
"May 2015","8673","8904"
"June 2015","9456","9700"
"July 2015","10503","10866"
"August 2015","10092","10388"
"September 2015","7752","7951"
"October 2015","7841","8050"
"November 2015","7439","7608"
"December 2015","8532","8760"
"January 2016","8334","8559"
"February 2016","7386","7571"
"March 2016","8962","9164"
"April 2016","8342","8558"
"May 2016","8763","8965"
"June 2016","9744","9962"
"July 2016","10751","11125"
"August 2016","9950","10222"
"September 2016","7857","8001"
"October 2016","7830","7999"
"November 2016","7322","7461"
"December 2016","8805","8922"
"January 2017","8512","8652"
"February 2017","7299","7415"
"March 2017","8999","9140"
"April 2017","9163","9314"
"May 2017","9236","9376"
"June 2017","10262","10442"
"July 2017","11242","11531"
"August 2017","10437","10708"
"September 2017","7773","7913"
"October 2017","8079","8235"
"November 2017","7719","7856"
"December 2017","8955","9089"
"January 2018","8598","8787"
"February 2018","7637","7807"
"March 2018","9647","9850"
"April 2018","9074","9274"
"May 2018","9452","9681"
"June 2018","10606","10874"
"July 2018","11421","11675"
"August 2018","10649","10795"
"September 2018","8233","8331"
"October 2018","8424","8550"
"November 2018","8079","8244"
"December 2018","9238","9313"
"January 2019","8984","9081"
"February 2019","7898","7986"
"March 2019","9977","10089"
"April 2019","9489","9625"
"May 2019","9982","10100"
"June 2019","11049","11214"
"July 2019","11673","11841"
"August 2019","11065","11165"
"September 2019","8610","8711"
"October 2019","8694","8804"
"November 2019","8257","8421"
"December 2019","9584","9765"
"January 2020","9152","9365"
"February 2020","7956","8184"
"March 2020","4649","4807"
"April 2020","132","175"
"May 2020","187","257"
"June 2020","399","491"
"July 2020","1126","1234"
"August 2020","1380","1461"
"September 2020","1402","1466"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
