International Passenger - Revenue Aircraft Hours (Airborne)  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","273679","281566"
"February 2015","242394","250030"
"March 2015","283884","290947"
"April 2015","280381","287903"
"May 2015","291898","298530"
"June 2015","301319","308766"
"July 2015","319926","329711"
"August 2015","312927","320994"
"September 2015","267468","273979"
"October 2015","263964","270757"
"November 2015","248080","253318"
"December 2015","277561","284294"
"January 2016","274714","281956"
"February 2016","254088","260870"
"March 2016","286581","293031"
"April 2016","279914","287263"
"May 2016","293069","300209"
"June 2016","303996","311305"
"July 2016","320771","330850"
"August 2016","308366","316885"
"September 2016","265341","270969"
"October 2016","263011","269568"
"November 2016","239341","244789"
"December 2016","278086","283399"
"January 2017","274364","281279"
"February 2017","243513","249323"
"March 2017","283566","290215"
"April 2017","284555","291217"
"May 2017","295547","301698"
"June 2017","308462","314770"
"July 2017","326552","335101"
"August 2017","310567","318651"
"September 2017","262164","268673"
"October 2017","269021","275908"
"November 2017","248132","253791"
"December 2017","280721","286278"
"January 2018","274557","281412"
"February 2018","257752","264873"
"March 2018","290089","297870"
"April 2018","285107","292607"
"May 2018","298440","306160"
"June 2018","311655","319563"
"July 2018","328129","336077"
"August 2018","316186","321818"
"September 2018","275609","279932"
"October 2018","273716","279576"
"November 2018","250639","256731"
"December 2018","282355","286261"
"January 2019","279602","285591"
"February 2019","250936","256296"
"March 2019","297373","303983"
"April 2019","288140","295021"
"May 2019","304213","315534"
"June 2019","319458","326224"
"July 2019","331978","339105"
"August 2019","321693","326609"
"September 2019","277094","282448"
"October 2019","272872","279295"
"November 2019","251893","257656"
"December 2019","285923","296087"
"January 2020","277912","285003"
"February 2020","242261","249785"
"March 2020","181877","189592"
"April 2020","16487","22479"
"May 2020","20083","27724"
"June 2020","29253","36891"
"July 2020","58726","66119"
"August 2020","70431","76555"
"September 2020","76049","81213"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
