International Passenger - Revenue Aircraft Miles Flown  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","131214","134817"
"February 2015","116061","119562"
"March 2015","136237","139490"
"April 2015","134864","138371"
"May 2015","141871","144927"
"June 2015","147299","150754"
"July 2015","156977","161448"
"August 2015","153387","157128"
"September 2015","131444","134492"
"October 2015","129029","132240"
"November 2015","120013","122389"
"December 2015","133718","136740"
"January 2016","132315","135612"
"February 2016","122255","125380"
"March 2016","137528","140471"
"April 2016","135439","138837"
"May 2016","142693","145986"
"June 2016","148885","152299"
"July 2016","157449","162067"
"August 2016","151480","155409"
"September 2016","130943","133542"
"October 2016","129181","132233"
"November 2016","116343","118816"
"December 2016","134136","136591"
"January 2017","131937","135109"
"February 2017","117262","119937"
"March 2017","136375","139458"
"April 2017","137488","140561"
"May 2017","144169","147012"
"June 2017","151277","154207"
"July 2017","159981","163882"
"August 2017","152304","156048"
"September 2017","129807","132853"
"October 2017","132175","135404"
"November 2017","120254","122866"
"December 2017","135849","138381"
"January 2018","132495","135591"
"February 2018","119311","122474"
"March 2018","140033","143623"
"April 2018","138316","141735"
"May 2018","145993","149574"
"June 2018","152767","156430"
"July 2018","160719","164362"
"August 2018","155167","157801"
"September 2018","135788","137834"
"October 2018","134432","137151"
"November 2018","121469","124205"
"December 2018","136225","137954"
"January 2019","134537","137271"
"February 2019","120034","122487"
"March 2019","141911","144922"
"April 2019","138440","141266"
"May 2019","148039","150674"
"June 2019","155861","158985"
"July 2019","162380","165712"
"August 2019","157950","160211"
"September 2019","137352","139811"
"October 2019","134453","137471"
"November 2019","122526","125099"
"December 2019","136641","139169"
"January 2020","134361","137467"
"February 2020","116439","119760"
"March 2020","86197","89708"
"April 2020","7924","10878"
"May 2020","10005","13730"
"June 2020","14555","18148"
"July 2020","28146","31605"
"August 2020","34620","37529"
"September 2020","37593","40093"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
