International Passenger - Revenue Passenger Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","20837894","21229279"
"February 2015","17536540","17932036"
"March 2015","21826663","22178943"
"April 2015","21207824","21579269"
"May 2015","23747686","24079589"
"June 2015","25700408","26089624"
"July 2015","27832922","28387846"
"August 2015","27415725","27890123"
"September 2015","22625232","22972298"
"October 2015","22020297","22394974"
"November 2015","19117204","19360241"
"December 2015","21708223","22052620"
"January 2016","21190946","21541992"
"February 2016","18098962","18414618"
"March 2016","21980806","22262449"
"April 2016","21504128","21847175"
"May 2016","23653137","23971383"
"June 2016","26240122","26615375"
"July 2016","28279219","28791604"
"August 2016","26854162","27278584"
"September 2016","22663144","22873428"
"October 2016","21954166","22237634"
"November 2016","18934666","19138761"
"December 2016","22145346","22356136"
"January 2017","21296656","21557183"
"February 2017","17776364","18009097"
"March 2017","22047545","22315683"
"April 2017","23191884","23463686"
"May 2017","24525750","24762938"
"June 2017","27198899","27480643"
"July 2017","29071516","29470279"
"August 2017","27924215","28306912"
"September 2017","22774244","23014781"
"October 2017","22371409","22670593"
"November 2017","19771215","20011696"
"December 2017","22648804","22863970"
"January 2018","21635887","21923260"
"February 2018","18761043","19037548"
"March 2018","23892691","24195374"
"April 2018","23195875","23495826"
"May 2018","25439165","25784245"
"June 2018","28279495","28671501"
"July 2018","29791953","30141440"
"August 2018","28703526","28964949"
"September 2018","23670861","23852325"
"October 2018","23362968","23631334"
"November 2018","20682055","20922911"
"December 2018","23286498","23437800"
"January 2019","22578028","22814065"
"February 2019","19356480","19563608"
"March 2019","24620766","24881841"
"April 2019","24256536","24558888"
"May 2019","26739300","26998494"
"June 2019","29398298","29720962"
"July 2019","30517534","30874486"
"August 2019","29877322","30097999"
"September 2019","25132183","25373901"
"October 2019","24322593","24629251"
"November 2019","21362968","21599390"
"December 2019","24671742","24911387"
"January 2020","23410401","23698246"
"February 2020","18555052","18882143"
"March 2020","10236530","10514738"
"April 2020","342857","488041"
"May 2020","468724","645117"
"June 2020","884838","1136301"
"July 2020","1966865","2244253"
"August 2020","2601984","2815872"
"September 2020","2581473","2751574"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
