International Passenger - Total Revenue Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","2550878","2607307"
"February 2015","2253494","2309533"
"March 2015","2743547","2793282"
"April 2015","2623266","2683763"
"May 2015","2887946","2943432"
"June 2015","3087104","3148796"
"July 2015","3299231","3378998"
"August 2015","3247992","3315575"
"September 2015","2769212","2823315"
"October 2015","2748972","2813167"
"November 2015","2422953","2464557"
"December 2015","2674400","2726522"
"January 2016","2565993","2620721"
"February 2016","2261204","2312129"
"March 2016","2714733","2760634"
"April 2016","2663532","2718623"
"May 2016","2889204","2944567"
"June 2016","3142240","3202840"
"July 2016","3353137","3431405"
"August 2016","3189501","3254520"
"September 2016","2805325","2844694"
"October 2016","2798878","2850396"
"November 2016","2435702","2472211"
"December 2016","2762011","2797502"
"January 2017","2617431","2666586"
"February 2017","2272273","2314356"
"March 2017","2800122","2845504"
"April 2017","2897352","2945099"
"May 2017","3067327","3110369"
"June 2017","3338623","3387696"
"July 2017","3538771","3602474"
"August 2017","3399531","3461858"
"September 2017","2891232","2940028"
"October 2017","2912067","2963981"
"November 2017","2595803","2636351"
"December 2017","2891099","2930214"
"January 2018","2705179","2755005"
"February 2018","2427358","2477499"
"March 2018","3047903","3099386"
"April 2018","2954294","3007760"
"May 2018","3186277","3242227"
"June 2018","3477873","3535582"
"July 2018","3633175","3689234"
"August 2018","3509720","3550194"
"September 2018","2998310","3027762"
"October 2018","3013816","3060795"
"November 2018","2657679","2692560"
"December 2018","2926059","2951498"
"January 2019","2781179","2826158"
"February 2019","2451455","2490067"
"March 2019","3085056","3132308"
"April 2019","2986443","3036043"
"May 2019","3266740","3308941"
"June 2019","3521142","3572562"
"July 2019","3631237","3692100"
"August 2019","3554879","3592917"
"September 2019","3085863","3129246"
"October 2019","3033843","3089542"
"November 2019","2704674","2746575"
"December 2019","3031165","3068007"
"January 2020","2842927","2893454"
"February 2020","2327637","2381016"
"March 2020","1348983","1390602"
"April 2020","97839","136425"
"May 2020","147565","202444"
"June 2020","222967","278500"
"July 2020","375844","427672"
"August 2020","499441","547465"
"September 2020","547107","590168"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
