System Passenger - Available Seat Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","83421189","84577173"
"February 2015","74547659","75645717"
"March 2015","90323907","91334069"
"April 2015","88617951","89730555"
"May 2015","92777625","93852423"
"June 2015","95699034","96818862"
"July 2015","100991322","102267206"
"August 2015","98605906","99762098"
"September 2015","87311778","88396587"
"October 2015","89525077","90742095"
"November 2015","84942543","85830912"
"December 2015","90268214","91219778"
"January 2016","86324711","87429438"
"February 2016","81955424","83028747"
"March 2016","94156648","95149922"
"April 2016","91606913","92703755"
"May 2016","96381341","97410277"
"June 2016","99866149","100980142"
"July 2016","104401229","105662865"
"August 2016","101837320","103142296"
"September 2016","90445645","91424382"
"October 2016","92169699","93323724"
"November 2016","86896657","87868149"
"December 2016","92983411","93846624"
"January 2017","89957348","91164588"
"February 2017","81365955","82346803"
"March 2017","96763001","97873293"
"April 2017","94777064","95842247"
"May 2017","99451590","100388706"
"June 2017","103710325","104729402"
"July 2017","108632534","109831624"
"August 2017","105782526","106939524"
"September 2017","91409247","92568954"
"October 2017","96446815","97718205"
"November 2017","90290522","91376024"
"December 2017","96283221","97216471"
"January 2018","93056109","94089518"
"February 2018","85156277","86237344"
"March 2018","100683549","101918187"
"April 2018","99520371","100588612"
"May 2018","104550878","105666834"
"June 2018","107912287","109035438"
"July 2018","112677219","113741346"
"August 2018","110046265","110977835"
"September 2018","98096194","98894426"
"October 2018","101209471","102278508"
"November 2018","94867555","95941500"
"December 2018","100428417","101113775"
"January 2019","96987158","97944171"
"February 2019","87915449","88823928"
"March 2019","105309484","106372344"
"April 2019","101856842","102829468"
"May 2019","107425049","108347293"
"June 2019","110097457","111115398"
"July 2019","114952468","116071375"
"August 2019","113140505","113972138"
"September 2019","101087368","102097955"
"October 2019","104434561","105707471"
"November 2019","98506803","99603510"
"December 2019","105339089","106244790"
"January 2020","101182889","102301747"
"February 2020","92835953","94045174"
"March 2020","82496496","83546956"
"April 2020","21004670","21649115"
"May 2020","19661135","20285470"
"June 2020","27494185","28329826"
"July 2020","45718251","46665717"
"August 2020","49721659","50594731"
"September 2020","43148054","43998401"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
