System Passenger - Available Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","11570745","11768205"
"February 2015","10426228","10648337"
"March 2015","12578017","12793684"
"April 2015","12486652","12702476"
"May 2015","13481809","13756378"
"June 2015","13896425","14131849"
"July 2015","14417864","14705303"
"August 2015","14324881","14568436"
"September 2015","12626523","12862532"
"October 2015","12729368","12967973"
"November 2015","11996873","12241615"
"December 2015","12883530","13079556"
"January 2016","12209696","12474215"
"February 2016","11575419","11807294"
"March 2016","13737704","13950434"
"April 2016","13149846","13440214"
"May 2016","13705151","13995382"
"June 2016","14169529","14491197"
"July 2016","14807713","15182741"
"August 2016","14470620","14824276"
"September 2016","12869787","13123539"
"October 2016","13070658","13380458"
"November 2016","12195192","12458412"
"December 2016","13326295","13537873"
"January 2017","12600004","12866584"
"February 2017","11417005","11599039"
"March 2017","13576569","13845755"
"April 2017","13341628","13579729"
"May 2017","14076682","14253573"
"June 2017","14661491","14857190"
"July 2017","15853465","16156310"
"August 2017","15551737","15821401"
"September 2017","13511386","13837204"
"October 2017","13718441","13949411"
"November 2017","13082717","13324149"
"December 2017","13623322","13840649"
"January 2018","13007564","13209502"
"February 2018","11849945","12115249"
"March 2018","13932044","14152346"
"April 2018","13877099","14123604"
"May 2018","14624545","14877843"
"June 2018","15123064","15361463"
"July 2018","15752652","15983774"
"August 2018","15413745","15592790"
"September 2018","13814016","13966813"
"October 2018","14223003","14484341"
"November 2018","13130142","13345820"
"December 2018","13903731","14061616"
"January 2019","13440859","13671891"
"February 2019","12156604","12377357"
"March 2019","14542381","14797034"
"April 2019","14146766","14359465"
"May 2019","14989350","15179036"
"June 2019","15363704","15597995"
"July 2019","16006617","16268645"
"August 2019","16440436","16695953"
"September 2019","14227522","14524814"
"October 2019","14647203","15001457"
"November 2019","13606486","13854039"
"December 2019","14515476","14728324"
"January 2020","14081407","14357942"
"February 2020","12737031","13031413"
"March 2020","11118653","11359575"
"April 2020","2762008","2969376"
"May 2020","2662075","2891249"
"June 2020","3743707","4110925"
"July 2020","6046950","6339953"
"August 2020","6678900","6908886"
"September 2020","6077216","6320484"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
