System Passenger - Departures Performed (Flights)  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","705734","716894"
"February 2015","633560","645632"
"March 2015","757882","770410"
"April 2015","741614","754436"
"May 2015","762768","777263"
"June 2015","772358","788961"
"July 2015","812451","832298"
"August 2015","801591","820852"
"September 2015","721743","738109"
"October 2015","752260","764642"
"November 2015","715585","725638"
"December 2015","731714","740892"
"January 2016","708229","718644"
"February 2016","678932","690174"
"March 2016","772959","784062"
"April 2016","747676","758602"
"May 2016","776067","788963"
"June 2016","789634","803990"
"July 2016","810962","827948"
"August 2016","808284","826004"
"September 2016","736861","752158"
"October 2016","752378","765697"
"November 2016","720029","731751"
"December 2016","735175","744854"
"January 2017","717145","727328"
"February 2017","656510","666946"
"March 2017","771381","783454"
"April 2017","746255","758016"
"May 2017","780424","793589"
"June 2017","796100","810890"
"July 2017","821820","837934"
"August 2017","811881","828757"
"September 2017","712832","728631"
"October 2017","756948","770382"
"November 2017","720033","731623"
"December 2017","739159","749755"
"January 2018","723610","735065"
"February 2018","664426","675694"
"March 2018","773631","786560"
"April 2018","767860","779993"
"May 2018","797880","813120"
"June 2018","810228","827449"
"July 2018","842145","860394"
"August 2018","834117","852231"
"September 2018","751970","765883"
"October 2018","789557","802520"
"November 2018","743077","755760"
"December 2018","764547","773006"
"January 2019","740379","750825"
"February 2019","673555","683174"
"March 2019","806883","818710"
"April 2019","782439","794799"
"May 2019","816086","828988"
"June 2019","821472","836137"
"July 2019","852504","868873"
"August 2019","849773","865207"
"September 2019","770056","783136"
"October 2019","806380","818841"
"November 2019","758805","770573"
"December 2019","793641","804018"
"January 2020","771035","782412"
"February 2020","725236","736520"
"March 2020","667526","675661"
"April 2020","222225","226190"
"May 2020","219335","225368"
"June 2020","279865","288042"
"July 2020","426937","437880"
"August 2020","452849","464392"
"September 2020","397096","406356"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
