System Passenger - Freight Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","506368","527044"
"February 2015","549629","570560"
"March 2015","613231","630674"
"April 2015","548906","574937"
"May 2015","559719","586632"
"June 2015","564929","593252"
"July 2015","562055","589251"
"August 2015","552217","576354"
"September 2015","550327","572235"
"October 2015","590348","620674"
"November 2015","551410","572322"
"December 2015","534861","557739"
"January 2016","474024","497475"
"February 2016","486000","511207"
"March 2016","551423","571528"
"April 2016","557964","583128"
"May 2016","570654","598784"
"June 2016","570402","597734"
"July 2016","574496","604768"
"August 2016","553826","580423"
"September 2016","586623","608035"
"October 2016","654418","683176"
"November 2016","589051","607885"
"December 2016","584833","602286"
"January 2017","535107","562561"
"February 2017","539401","562657"
"March 2017","649773","672872"
"April 2017","630021","654134"
"May 2017","670926","694080"
"June 2017","679341","704515"
"July 2017","686176","713895"
"August 2017","666402","695386"
"September 2017","664863","693516"
"October 2017","729950","757051"
"November 2017","667718","687436"
"December 2017","660847","682085"
"January 2018","579371","604417"
"February 2018","595886","624968"
"March 2018","703674","727157"
"April 2018","680501","707758"
"May 2018","695427","723955"
"June 2018","705784","728859"
"July 2018","709740","734124"
"August 2018","694301","713487"
"September 2018","679348","694141"
"October 2018","730080","758254"
"November 2018","634120","651323"
"December 2018","630577","644264"
"January 2019","567208","593147"
"February 2019","561853","584365"
"March 2019","673802","697392"
"April 2019","606171","630439"
"May 2019","641071","661005"
"June 2019","629578","653784"
"July 2019","624798","654835"
"August 2019","610415","631310"
"September 2019","612576","637834"
"October 2019","643393","674163"
"November 2019","608238","632395"
"December 2019","594317","611218"
"January 2020","540541","565113"
"February 2020","520259","547549"
"March 2020","375055","391483"
"April 2020","94826","118526"
"May 2020","131916","166371"
"June 2020","165433","194548"
"July 2020","214450","240113"
"August 2020","279860","308548"
"September 2020","328816","359455"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
