System Passenger - Passenger Enplanements  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","57783","58229"
"February 2015","54160","54572"
"March 2015","68200","68640"
"April 2015","65919","66343"
"May 2015","68925","69353"
"June 2015","71266","71710"
"July 2015","75634","76191"
"August 2015","72866","73366"
"September 2015","63741","64189"
"October 2015","68733","69207"
"November 2015","64589","64974"
"December 2015","66402","66801"
"January 2016","60808","61202"
"February 2016","58497","58836"
"March 2016","70555","70927"
"April 2016","67236","67603"
"May 2016","71515","71873"
"June 2016","74502","74886"
"July 2016","76886","77423"
"August 2016","73450","73908"
"September 2016","66477","66882"
"October 2016","69539","69986"
"November 2016","66591","66963"
"December 2016","67983","68272"
"January 2017","62621","62949"
"February 2017","58377","58667"
"March 2017","72962","73321"
"April 2017","70262","70606"
"May 2017","73679","74009"
"June 2017","77009","77369"
"July 2017","79816","80255"
"August 2017","77102","77563"
"September 2017","64917","65316"
"October 2017","72704","73143"
"November 2017","69630","70018"
"December 2017","70329","70666"
"January 2018","64428","64786"
"February 2018","61715","62068"
"March 2018","76290","76706"
"April 2018","73631","74018"
"May 2018","77296","77706"
"June 2018","80884","81334"
"July 2018","83962","84373"
"August 2018","80988","81318"
"September 2018","68702","69027"
"October 2018","75505","75880"
"November 2018","72738","73165"
"December 2018","72884","73113"
"January 2019","67018","67271"
"February 2019","63577","63815"
"March 2019","80211","80501"
"April 2019","76427","76720"
"May 2019","81348","81627"
"June 2019","83840","84146"
"July 2019","86957","87261"
"August 2019","83784","84069"
"September 2019","72590","72917"
"October 2019","78617","78979"
"November 2019","73074","73497"
"December 2019","79302","79676"
"January 2020","70764","71165"
"February 2020","67806","68214"
"March 2020","39060","39331"
"April 2020","3009","3079"
"May 2020","8426","8542"
"June 2020","16606","16775"
"July 2020","24000","24192"
"August 2020","25290","25468"
"September 2020","25251","25419"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
