System Passenger - Revenue Aircraft Hours (Airborne)  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","1325172","1341512"
"February 2015","1182536","1198761"
"March 2015","1423401","1439817"
"April 2015","1394698","1410939"
"May 2015","1431111","1448311"
"June 2015","1455959","1476334"
"July 2015","1526622","1549790"
"August 2015","1493440","1515165"
"September 2015","1328027","1347044"
"October 2015","1380024","1396972"
"November 2015","1328742","1342571"
"December 2015","1398654","1413205"
"January 2016","1338669","1354578"
"February 2016","1276503","1292184"
"March 2016","1465690","1481885"
"April 2016","1405332","1421869"
"May 2016","1461676","1479047"
"June 2016","1495546","1514996"
"July 2016","1547170","1569901"
"August 2016","1516807","1539056"
"September 2016","1355745","1374505"
"October 2016","1389048","1407500"
"November 2016","1328727","1345156"
"December 2016","1421428","1436160"
"January 2017","1376976","1394047"
"February 2017","1245637","1261385"
"March 2017","1472661","1491196"
"April 2017","1425257","1442443"
"May 2017","1477880","1495271"
"June 2017","1520719","1540275"
"July 2017","1577404","1598558"
"August 2017","1544080","1565691"
"September 2017","1332843","1353192"
"October 2017","1423386","1443154"
"November 2017","1358754","1376334"
"December 2017","1442645","1458872"
"January 2018","1396599","1414039"
"February 2018","1301647","1319965"
"March 2018","1501615","1522184"
"April 2018","1477452","1495720"
"May 2018","1528455","1548879"
"June 2018","1564499","1586005"
"July 2018","1625347","1646921"
"August 2018","1597200","1617392"
"September 2018","1425913","1442396"
"October 2018","1490113","1507328"
"November 2018","1416881","1434815"
"December 2018","1491018","1502489"
"January 2019","1441712","1457396"
"February 2019","1317383","1331821"
"March 2019","1567794","1585285"
"April 2019","1507408","1524907"
"May 2019","1569544","1609853"
"June 2019","1592852","1611774"
"July 2019","1643211","1663198"
"August 2019","1625841","1643465"
"September 2019","1452956","1470025"
"October 2019","1522061","1540224"
"November 2019","1449062","1465976"
"December 2019","1553533","1573410"
"January 2020","1494359","1511944"
"February 2020","1390278","1407979"
"March 2020","1271160","1285891"
"April 2020","362048","371597"
"May 2020","345444","358331"
"June 2020","461051","476879"
"July 2020","729296","746124"
"August 2020","780331","796750"
"September 2020","689125","703106"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
