System Passenger - Revenue Aircraft Miles Flown  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","564663","571010"
"February 2015","503817","509940"
"March 2015","609855","616016"
"April 2015","595924","601929"
"May 2015","615960","621774"
"June 2015","632900","639642"
"July 2015","666902","674498"
"August 2015","650811","657691"
"September 2015","577439","583729"
"October 2015","596619","602926"
"November 2015","570591","575689"
"December 2015","601042","606623"
"January 2016","575649","581827"
"February 2016","548135","554056"
"March 2016","628339","634282"
"April 2016","605513","611676"
"May 2016","631017","636958"
"June 2016","651831","658386"
"July 2016","678007","685588"
"August 2016","662351","669566"
"September 2016","590283","596440"
"October 2016","603647","610473"
"November 2016","574833","580922"
"December 2016","609968","615541"
"January 2017","589872","596529"
"February 2017","534005","539934"
"March 2017","631746","638773"
"April 2017","614020","620410"
"May 2017","639218","645322"
"June 2017","663945","670557"
"July 2017","692565","699793"
"August 2017","674954","682341"
"September 2017","583742","590920"
"October 2017","620159","627672"
"November 2017","586631","593434"
"December 2017","622218","628490"
"January 2018","601417","608119"
"February 2018","551345","558290"
"March 2018","647413","655288"
"April 2018","638303","645345"
"May 2018","664623","671936"
"June 2018","685032","692369"
"July 2018","713610","720718"
"August 2018","698148","704601"
"September 2018","623196","628683"
"October 2018","646553","652748"
"November 2018","609204","615929"
"December 2018","642942","647152"
"January 2019","619561","625497"
"February 2019","562472","567952"
"March 2019","674144","680737"
"April 2019","649091","655242"
"May 2019","678841","684614"
"June 2019","694064","700499"
"July 2019","722715","729291"
"August 2019","712929","718442"
"September 2019","637214","643138"
"October 2019","662401","669108"
"November 2019","627551","633911"
"December 2019","670068","675854"
"January 2020","642907","649553"
"February 2020","596586","603402"
"March 2020","542405","548365"
"April 2020","150694","154811"
"May 2020","143764","149194"
"June 2020","194478","200578"
"July 2020","310977","317270"
"August 2020","333988","339876"
"September 2020","294367","299584"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
