System Passenger - Revenue Passenger Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","65975446","66538427"
"February 2015","59784666","60331343"
"March 2015","75751609","76271051"
"April 2015","73090871","73607258"
"May 2015","78002934","78502353"
"June 2015","82695216","83253406"
"July 2015","88263769","88951665"
"August 2015","85234949","85855967"
"September 2015","72483191","73017729"
"October 2015","76094668","76678056"
"November 2015","70030247","70460064"
"December 2015","74827186","75327875"
"January 2016","69265866","69778658"
"February 2016","64559135","65026219"
"March 2016","78684812","79121758"
"April 2016","75127770","75617423"
"May 2016","80784689","81226985"
"June 2016","86518458","87042101"
"July 2016","90628483","91256833"
"August 2016","86136354","86708517"
"September 2016","75323792","75735169"
"October 2016","77274227","77790769"
"November 2016","72215277","72625058"
"December 2016","76957615","77310977"
"January 2017","71433297","71876269"
"February 2017","64261253","64666059"
"March 2017","80838984","81311996"
"April 2017","79494361","79935852"
"May 2017","83542041","83939004"
"June 2017","89667876","90130481"
"July 2017","94106754","94641122"
"August 2017","90444527","90980861"
"September 2017","74645832","75092288"
"October 2017","80629311","81168038"
"November 2017","75655183","76124199"
"December 2017","79629124","80037670"
"January 2018","73352755","73795632"
"February 2018","68213441","68674042"
"March 2018","85599897","86103036"
"April 2018","82536712","83009398"
"May 2018","88019738","88525057"
"June 2018","94375329","94917274"
"July 2018","98883724","99373375"
"August 2018","94835592","95268223"
"September 2018","79102243","79470508"
"October 2018","84374600","84870973"
"November 2018","79461417","79928178"
"December 2018","82764474","83057947"
"January 2019","76935982","77332661"
"February 2019","70762599","71115092"
"March 2019","90028516","90468975"
"April 2019","86209795","86675353"
"May 2019","92550535","92967337"
"June 2019","97811521","98264448"
"July 2019","101794185","102282464"
"August 2019","98025331","98398085"
"September 2019","83345979","83798763"
"October 2019","87646386","88191029"
"November 2019","80521709","80993438"
"December 2019","89959866","90371414"
"January 2020","81040965","81512274"
"February 2020","73891227","74408383"
"March 2020","42763106","43155089"
"April 2020","2893667","3069485"
"May 2020","7456386","7686700"
"June 2020","14892350","15229444"
"July 2020","22029077","22392219"
"August 2020","23548300","23851787"
"September 2020","23729469","24005828"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
