System Passenger - Total Revenue Ton Miles  (January 2015 - December 2020)
Unit: (000)

Period,Scheduled,Total
"January 2015","7178861","7255836"
"February 2015","6592856","6668485"
"March 2015","8262524","8331912"
"April 2015","7931497","8009168"
"May 2015","8433643","8510498"
"June 2015","8907193","8991337"
"July 2015","9464716","9560703"
"August 2015","9148764","9235004"
"September 2015","7870602","7945965"
"October 2015","8278466","8367131"
"November 2015","7628556","7692451"
"December 2015","8108801","8181748"
"January 2016","7475195","7549926"
"February 2016","7002980","7074897"
"March 2016","8482841","8546643"
"April 2016","8130552","8204688"
"May 2016","8710593","8782954"
"June 2016","9289340","9369037"
"July 2016","9710466","9803575"
"August 2016","9240103","9323918"
"September 2016","8192097","8254647"
"October 2016","8460621","8541034"
"November 2016","7890033","7949847"
"December 2016","8377560","8430351"
"January 2017","7753951","7825703"
"February 2017","7033634","7097378"
"March 2017","8813826","8884235"
"April 2017","8657290","8725563"
"May 2017","9103727","9166586"
"June 2017","9724848","9796289"
"July 2017","10176842","10257998"
"August 2017","9791669","9874290"
"September 2017","8207345","8280646"
"October 2017","8874114","8955107"
"November 2017","8318737","8385363"
"December 2017","8732421","8794533"
"January 2018","8000133","8069468"
"February 2018","7491069","7566212"
"March 2018","9350614","9424412"
"April 2018","9016493","9091020"
"May 2018","9578182","9657242"
"June 2018","10219718","10296988"
"July 2018","10672491","10745841"
"August 2018","10253525","10315977"
"September 2018","8662948","8714568"
"October 2018","9245174","9322986"
"November 2018","8663337","8727217"
"December 2018","9004256","9047291"
"January 2019","8340292","8405900"
"February 2019","7706187","7763950"
"March 2019","9753355","9820993"
"April 2019","9301207","9372031"
"May 2019","9969226","10030841"
"June 2019","10480704","10550204"
"July 2019","10872433","10951299"
"August 2019","10484540","10542712"
"September 2019","9016143","9086682"
"October 2019","9486235","9571470"
"November 2019","8739471","8810802"
"December 2019","9686159","9744218"
"January 2020","8723452","8795157"
"February 2020","7970854","8049860"
"March 2020","4701107","4756734"
"April 2020","403870","449058"
"May 2020","902775","965927"
"June 2020","1687794","1754661"
"July 2020","2456774","2521292"
"August 2020","2679703","2740252"
"September 2020","2747496","2806111"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
